	id	week	value
871	KPI38	20	0.5118294261469869
872	KPI39	20	0.9988425925925926
873	KPI40	20	0.9629629629629629
874	KPI41	20	1.0
875	KPI42	20	1.0
876	KPI43	20	1.0
877	KPI44	20	89.0
878	KPI45	20	0.9464622385603672
879	KPI46	20	159.0
880	KPI01	21	0.9473684210526315
881	KPI02	21	0.9354838709677419
882	KPI03	21	0.9722222222222222
883	KPI47	21	0.9285714285714286
884	KPI48	21	8315.0
885	KPI04	21	90605.0
886	KPI05	21	23.0
887	KPI06	21	
888	KPI08	21	0.0
889	KPI09	21	5885.0
890	KPI10	21	
891	KPI11	21	5.0
892	KPI12	21	0.9969507030323564
893	KPI13	21	0.9114698385726423
894	KPI15	21	0.0
895	KPI16	21	
896	KPI17	21	0.0
897	KPI18	21	16732.0
898	KPI19	21	
899	KPI20	21	
900	KPI21	21	0.8466579733261285
901	KPI22	21	1.0
902	KPI25	21	5854.0
903	KPI26	21	226.0
904	KPI27	21	1.0
905	KPI28	21	0.9880128962594735
906	KPI29	21	161.0
907	KPI30	21	651.0
908	KPI31	21	4837.0
909	KPI32	21	0.937154737154737
910	KPI33	21	2.5553125
911	KPI34	21	0.0
912	KPI35	21	
913	KPI36	21	
914	KPI37	21	
915	KPI38	21	0.3154848046309696
916	KPI39	21	1.0
917	KPI40	21	1.0
918	KPI41	21	1.0
919	KPI42	21	1.0
920	KPI43	21	1.0
921	KPI44	21	96.0
922	KPI45	21	0.9752021432394397
923	KPI46	21	151.0
924	KPI01	22	1.0
925	KPI02	22	0.9354838709677419
926	KPI03	22	0.9655172413793104
927	KPI47	22	0.8
928	KPI48	22	257.0
929	KPI04	22	86900.0
930	KPI05	22	82.0
931	KPI06	22	
932	KPI08	22	0.0
933	KPI09	22	4402.0
934	KPI10	22	
935	KPI11	22	19.0
936	KPI12	22	0.9946642952423299
937	KPI13	22	0.6327670987930264
938	KPI15	22	0.6666666666666666
939	KPI16	22	
940	KPI17	22	2686.0
941	KPI18	22	16977.0
942	KPI19	22	
943	KPI20	22	
944	KPI21	22	0.8812924726111657
945	KPI22	22	0.6918067226890756
946	KPI25	22	5199.0
947	KPI26	22	6667.0
948	KPI27	22	1.0
949	KPI28	22	0.9862897499252957
950	KPI29	22	0.0
951	KPI30	22	766.0
952	KPI31	22	4.0
953	KPI32	22	0.975574027079186
